Kode Item,Nama Item,Satuan Standar,Jumlah_Bulan_Data,Jumlah_Bulan_Terjual,Total_Permintaan,Rata_Rata_Permintaan,Maksimum_Permintaan,Status_Kelayakan
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",CARTON,35,1,2.0,0.05714285714285714,2.0,Data Terlalu Sedikit
2121-0034-02,"INOCULATION LOOPS, FLEXIBLE, 10μL+INCORPORATED NEEDLE, ABS MATERIAL, BLUE COLOR. 1PC/PEEL-PK, GAMMA STERILE",PAK,35,1,25.0,0.7142857142857143,25.0,Data Terlalu Sedikit
2121-2005,"INOCULATION LOOPS,10μL, HIPS MATERIAL, DARK BLUE COLOR. 20PCS/ZIP-LOCK PACK, 03/07/2026 13.49 ADMGAINMMA STERILE. 9/23 No Transaksi TINaOnCgUgLaAlTION LOKOoPdSe,1 P0μeLl., HIPS NMaAmTEaR PIAeLla,nggan Alamat DARK BLUE COLOR. 20PCS/ZIP-LOCK PACK, GAMMA STERILE.",BOX,35,1,2.0,0.05714285714285714,2.0,Data Terlalu Sedikit
2121-2005,"INOCULATION LOOPS,10μL, HIPS MATERIAL, DARK BLUE COLOR. 20PCS/ZIP-LOCK PACK, GAMMA STERILE.",BOX,34,3,7.0,0.20588235294117646,3.0,Data Terlalu Sedikit
2122-0022,MICROBIAL COLLECTION SWAB Diam 2.2mm x 150mm Cotton Head Polystyrene Individual Peel Pack Gamma Sterile 500/Pack,PAK,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
220,Paracetamol 120 mg/5 ml Syr,BTL,33,1,5.0,0.15151515151515152,5.0,Data Terlalu Sedikit
2303-1060,"PETRI DISHES, PS MATERIAL. DIA.60MM X 15MM. 1 ROOM/3 VENTS. E.O. STERILE.",CARTON,33,1,3.0,0.09090909090909091,3.0,Data Terlalu Sedikit
2303-1090,"PETRI DISHES, PS MATERIAL. DIA.90MM X 15MM, 1 ROOM/3 VENTS. E.O.STERILE",CARTON,33,1,25.0,0.7575757575757576,25.0,Data Terlalu Sedikit
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,BOX,34,3,35.0,1.0294117647058822,30.0,Layak Diprediksi
268,Cefadroxil Monohydrate 500mg Kapsul Bernofarm,TAB,35,3,1721.0,49.17142857142857,1000.0,Layak Diprediksi
3,CC SPUIT 3 CC,BOX,33,5,137.0,4.151515151515151,50.0,Layak Diprediksi
343,Ondancetron HCl Dihydrate 8 mg Kaplet Salut Selaput,BOX,35,1,30.0,0.8571428571428571,30.0,Data Terlalu Sedikit
343,Ondancetron HCl Dihydrate 8 mg Kaplet Salut Selaput,TAB,34,1,900.0,26.470588235294116,900.0,Data Terlalu Sedikit
367812,TUBE PLN PLH 13X75 4.0 PLBL RD,BOX,33,1,5.0,0.15151515151515152,5.0,Data Terlalu Sedikit
367856,"TUBE EDTA PLH 13X75, 3.0",BOX,33,16,454.0,13.757575757575758,50.0,Layak Diprediksi
367957,"TUBE SST II PLH 13X75, 3.5",BOX,33,15,449.0,13.606060606060606,60.0,Layak Diprediksi
3WAY,Three Way Stopcock Onemed Threeway 3 Way,PCS,33,1,19.0,0.5757575757575758,19.0,Data Terlalu Sedikit
4004-0105,"CYLINDRICAL TEST TUBE, PLAIN, VOL.3ML, 10X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",CARTON,33,2,9.0,0.2727272727272727,5.0,Data Terlalu Sedikit
4004-0111,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML, 12X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",BOX,35,2,7.0,0.2,4.0,Data Terlalu Sedikit
4004-0111,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML, 12X75MM, 0.8-1.0MM THICK, MEDIUM BOROSILICATE GLASS MATERIAL",CARTON,34,1,7.0,0.20588235294117646,7.0,Data Terlalu Sedikit
4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",CARTON,34,6,63.0,1.8529411764705883,20.0,Layak Diprediksi
4004-0805,"CYLINDRICAL TEST TUBE, PLAIN, VOL.5ML/12X75MM, PS MATERIAL",POLYBAG,35,1,6.0,0.17142857142857143,6.0,Data Terlalu Sedikit
4004-1021,"CYLINDRICAL CULTURE TUBE, WITH DUAL- POSITION SNAP CAP IN PE MATERIAL (LOOSE FOR AEROBIC CULTURING, TIGHT FOR SEALING), TUBES IN PS MATERIAL. VOL.15ML/17X100MM, WITH GRADUATION AT EACH 1/2ML UP TO 12ML. INDIVIDUAL PEEL-PK, GAMMA STERILE",CARTON,33,2,4.0,0.12121212121212122,3.0,Data Terlalu Sedikit
4320-0111,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML",BOX,33,2,9.0,0.2727272727272727,5.0,Data Terlalu Sedikit
4320-0112,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE",BOX,35,1,1.0,0.02857142857142857,1.0,Data Terlalu Sedikit
4320-0112,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE",CARTON,35,1,2.0,0.05714285714285714,2.0,Data Terlalu Sedikit
4320-0112,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE No Transaksi TPAanSgTEgUalR PIPETTKEo, dLDe PPEe Ml.ATERNIAaLm, a Pelanggan Alamat CAP.5ML/145MM LONG, GRADUATED AT EVERY 1/4ML UP TO 1ML. INDIVIDUAL FLOW-PACK, E.O. STERILE",CARTON,35,1,2.0,0.05714285714285714,2.0,Data Terlalu Sedikit
4320-0511,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML",BOX,35,2,14.0,0.4,9.0,Data Terlalu Sedikit
4320-0511,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML No Transaksi TPAanSgTEgUalR PIPETTKEo, dLDe PPEe Ml.ATERNIAaLm, a Pelanggan Alamat CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML",BOX,34,1,5.0,0.14705882352941177,5.0,Data Terlalu Sedikit
4320-0513,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML. INDIVIDUAL PEEL-PACK, E.O. STERILE",BOX,35,1,19.0,0.5428571428571428,19.0,Data Terlalu Sedikit
4320-0513,"PASTEUR PIPETTE, LDPE MATERIAL, CAP.7ML/155MM LONG, GRADUATED AT EVERY 1/2ML UP TO 3ML. INDIVIDUAL PEEL-PACK, E.O. STERILE",CARTON,34,2,6.0,0.17647058823529413,4.0,Data Terlalu Sedikit
4330-0004-02,"Blue Tips,VOL.1000μl,Eppendorf/Universal type,PP material",CARTON,34,0,0.0,0.0,0.0,Data Terlalu Sedikit
4330-0004-02,"Blue Tips,VOL.1000μl,Eppendorf/Universal type,PP material BAG",ZIP-LOCK,35,3,59.0,1.6857142857142857,37.0,Layak Diprediksi
4330-0012-02,"Blue Tips,Gilson/Universal type,VOL.1000μl,graduated at 100/250/500/100μl,PP BAG material",ZIP-LOCK,34,3,57.0,1.6764705882352942,50.0,Layak Diprediksi
4330-0012-02,"Blue Tips,Gilson/Universal type,VOL.1000μl,graduated at 100/250/500/100μl,PP material",CARTON,35,2,2.0,0.05714285714285714,1.0,Data Terlalu Sedikit
4330-0016-17,"Yellow Tips,VOL.200μl,Eppendorf/Universal type,PP material",BOX,33,3,39.0,1.1818181818181819,24.0,Layak Diprediksi
4330-0021-17,"Yellow Tips,Gilson/Universal type,VOL.200μl,graduated at 10/20/50/100μl,PP BAG material",ZIP-LOCK,35,1,19.0,0.5428571428571428,19.0,Data Terlalu Sedikit
4330-0021-17,"Yellow Tips,Gilson/Universal type,VOL.200μl,graduated at 10/20/50/100μl,PP material",CARTON,34,3,4.0,0.11764705882352941,2.0,Data Terlalu Sedikit
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",CARTON,34,1,1.0,0.029411764705882353,1.0,Data Terlalu Sedikit
4330-0023,"Pipet Tips,eppendorf type,VOL.10μl,PP material,Natural color",POLYBAG,35,3,20.0,0.5714285714285714,10.0,Layak Diprediksi
4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",BOX,34,1,5.0,0.14705882352941177,5.0,Data Terlalu Sedikit
4610-1924,"Centrifuge Tube, PP material, conical bottom, Vol.15ml/17x120mm, BLUE printed graduation from 1.5ml to 15ml/graduation interval 0.5ml. Screw cap leakage-proof, GREY color. DNase-free, RNase-free, Non-Pyrogen, Assembled, E.O. sterile, individual flow-pack, 50pcs/box",CARTON,35,5,19.0,0.5428571428571428,6.0,Layak Diprediksi
5,CC SPUIT 5 CC,BOX,33,3,55.0,1.6666666666666667,50.0,Layak Diprediksi
546,Cefadroxil Monohydrate 125mg/5ml Sirup Kering Bernofarm,BTL,33,1,5.0,0.15151515151515152,5.0,Data Terlalu Sedikit
5600-0001,"SHARP CONTAINER, FOR CLINICAL WASTE, PP MATERIAL, RECTANGULAR SHAPE. LID IN TRANSPARENT COLOR, CONTAINER IN YELLOW COLOR, VOL.1L/ L105XW85XH180MM",CARTON,34,2,4.0,0.11764705882352941,3.0,Data Terlalu Sedikit
5600-0001,"SHARP CONTAINER, FOR CLINICAL WASTE, PP MATERIAL, RECTANGULAR SHAPE. LID IN TRANSPARENT COLOR, CONTAINER IN YELLOW COLOR, VOL.1L/ L105XW85XH180MM",PCS,35,1,50.0,1.4285714285714286,50.0,Data Terlalu Sedikit
615,Paracetamol 500 mg Kaplet,TAB,33,4,107100.0,3245.4545454545455,100100.0,Layak Diprediksi
635,Ambroxol HCl 15 mg/5 ml Elixir Bernofarm,BTL,33,1,54.0,1.6363636363636365,54.0,Data Terlalu Sedikit
770,Flunarizine 10 mg Tab,BOX,33,1,2.0,0.06060606060606061,2.0,Data Terlalu Sedikit
775,Domperidone Maleate 10 mg TSS,BOX,35,1,2.0,0.05714285714285714,2.0,Data Terlalu Sedikit
775,Domperidone Maleate 10 mg TSS,TAB,34,1,28.0,0.8235294117647058,28.0,Data Terlalu Sedikit
7982101,HEALGEN 1/2 ONE STEP RAPID TEST CASSETTE BOX@25 PCS,BOX,33,1,12.0,0.36363636363636365,12.0,Data Terlalu Sedikit
7982201,HEALGEN HCV Rapid Test Cassette Box@25 pcs,BOX,33,1,2.0,0.06060606060606061,2.0,Data Terlalu Sedikit
7982501,HEALGEN HBSAG TEST CASSETTE BOX@25 PCS,BOX,33,1,12.0,0.36363636363636365,12.0,Data Terlalu Sedikit
926,Clindamycin HCl 300 mg Kapsul,BOX,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
AATC,ALAT AUTO CHECK,UNIT,33,1,12.0,0.36363636363636365,12.0,Data Terlalu Sedikit
AB,8M AMBULANCE BOAT FRP 8 METER 2x85 PK,UNIT,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
ABCTH16,Abbocath 16,PCS,33,1,100.0,3.0303030303030303,100.0,Data Terlalu Sedikit
ABNREGAL+,ABN Regal Plus Mobile Clock Aneroid Sphygmomanometer,UNIT,33,1,3.0,0.09090909090909091,3.0,Data Terlalu Sedikit
AC-S0.5,SHARP AC SHARP 0.5 PK,UNIT,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
AC-S1,SHARP AC SHARP 1 PK,UNIT,33,1,2.0,0.06060606060606061,2.0,Data Terlalu Sedikit
ACCTO,ADAPTOR TENSIMETER OMRON,PCS,33,1,4.0,0.12121212121212122,4.0,Data Terlalu Sedikit
ACETYL,Acetylcysteine 200 mg IPHA,BOX,33,2,2.0,0.06060606060606061,1.0,Data Terlalu Sedikit
ACETYLM,Acetylcysteine - Mulia,TAB,33,1,1000.0,30.303030303030305,1000.0,Data Terlalu Sedikit
ACT-H,Actifed Hijau,BTL,33,1,6.0,0.18181818181818182,6.0,Data Terlalu Sedikit
ACT-M,Actifed Merah,BTL,33,1,6.0,0.18181818181818182,6.0,Data Terlalu Sedikit
ACYLC,Acyclovir Cream - Berno,TUBE,33,1,250.0,7.575757575757576,250.0,Data Terlalu Sedikit
AEROSOL,AEROSOL ANTI NYAMUK,PCS,33,1,20.0,0.6060606060606061,20.0,Data Terlalu Sedikit
AG18T,Agani Needle No.18 - Terumo,BOX,33,1,20.0,0.6060606060606061,20.0,Data Terlalu Sedikit
AHWC-210,Disposable Single Heated Wire Breathing Circuit Adult AHWC-210,PCS,33,1,3.0,0.09090909090909091,3.0,Data Terlalu Sedikit
AII,SET AFF DAN INSERSI IUD,SET,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
AKHL,70% 1L ALKOHOL 70% 1 LITER,BTL,34,3,41.0,1.2058823529411764,28.0,Layak Diprediksi
AKHL,70% 5 ALKOHOL 70% 5 LITER,DRIGEN,35,1,7.0,0.2,7.0,Data Terlalu Sedikit
AKHL70%,ALKOHOL 70% 100 ML 100ML,BTL,33,2,552.0,16.727272727272727,480.0,Data Terlalu Sedikit
AKRL-3S,Akrilik Leaflet 3 Susun,PCS,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
AKURAT,Test ALAT TEST KEHAMILAN AKURAT,BOX,33,1,2.0,0.06060606060606061,2.0,Data Terlalu Sedikit
AKURAT-TEST,ALAT TEST KEHAMILAN AKURAT,BOX,33,1,92.0,2.787878787878788,92.0,Data Terlalu Sedikit
ALKGP,AlleMed ECG/EKG PAPER 210mm x 295mm x 100sheets,PCS,33,2,4.0,0.12121212121212122,2.0,Data Terlalu Sedikit
ALLO100T,ALLOPURINOL 100 MG TAB TRIMAN,TAB,33,1,500.0,15.151515151515152,500.0,Data Terlalu Sedikit
ALLOTAB,Allopurinol Tablet,BOX,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
ALLTR-TM,ALLETROL TM (24),BTL,33,1,4.0,0.12121212121212122,4.0,Data Terlalu Sedikit
ALPARA,Tab Alpara Tab,BOX,34,1,1.0,0.029411764705882353,1.0,Data Terlalu Sedikit
ALPARA,Tab Alpara Tab,TAB,35,1,1000.0,28.571428571428573,1000.0,Data Terlalu Sedikit
ALR-A0909C,ALARM THERMOMETER DR GRAY A909C,UNIT,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
ALTAUNP-60X90,Altamed Underpads 60x90cm,PAK,33,1,60.0,1.8181818181818181,60.0,Data Terlalu Sedikit
ALTMFP-6.5,SURGICAL GLOVE STERILE FREE POWDER 6.5 ALTAMED,PCS,33,1,195.0,5.909090909090909,195.0,Data Terlalu Sedikit
ALTMFP-7,SURGICAL GLOVE STERILE FREE POWDER 7 ALTAMED,PCS,33,1,1000.0,30.303030303030305,1000.0,Data Terlalu Sedikit
ALTMFP-7.5,SURGICAL GLOVE STERILE FREE POWDER 7.5 ALTAMED,PCS,33,1,1000.0,30.303030303030305,1000.0,Data Terlalu Sedikit
AMBRX30,Ambroxol HCl 30 mg/5 ml Elixir Bernofarm,BTL,33,2,33.0,1.0,30.0,Data Terlalu Sedikit
AMBTAB,Ambroxol Tab Bernofarm,BOX,34,2,52.0,1.5294117647058822,50.0,Data Terlalu Sedikit
AMBTAB,Ambroxol Tab Bernofarm,TAB,35,1,10000.0,285.7142857142857,10000.0,Data Terlalu Sedikit
AMBU-A,AMBUBAG ANAK,UNIT,33,1,4.0,0.12121212121212122,4.0,Data Terlalu Sedikit
AMBU-D,AMBUBAG DEWASA,UNIT,33,1,4.0,0.12121212121212122,4.0,Data Terlalu Sedikit
AMBX30,Ambroxol 30mg Tab - Trifa,BOX,33,1,2.0,0.06060606060606061,2.0,Data Terlalu Sedikit
AMD,10mg Amlodipine 10mg,BOX,35,2,51.0,1.457142857142857,50.0,Data Terlalu Sedikit
AMD,10mg Amlodipine 10mg,TAB,35,2,5500.0,157.14285714285714,5000.0,Data Terlalu Sedikit
AMD,5mg Amlodipine 5mg,BOX,35,3,32.0,0.9142857142857143,30.0,Layak Diprediksi
AMD,5mg Amlodipine 5mg,TAB,36,1,1500.0,41.666666666666664,1500.0,Data Terlalu Sedikit
AMIPHL200,Aminophylline 200 mg Tab,TAB,33,1,2000.0,60.60606060606061,2000.0,Data Terlalu Sedikit
AMIPHL24-INJ,AMINOPHYLINE 24 MG/ML INJEKSI,AMPUL,33,1,25.0,0.7575757575757576,25.0,Data Terlalu Sedikit
AML5T,AMLODIPHINE 5 MG TRIFA,TAB,33,1,500.0,15.151515151515152,500.0,Data Terlalu Sedikit
AMPCL,- Inj Ampicillin Inj,AMPUL,35,1,60.0,1.7142857142857142,60.0,Data Terlalu Sedikit
AMPCL,- Inj Ampicillin Inj,BOX,34,1,10.0,0.29411764705882354,10.0,Data Terlalu Sedikit
AMPCL-INJ,Ampicillin Inj,VIAL,33,1,100.0,3.0303030303030303,100.0,Data Terlalu Sedikit
AMXD,Amoxsan Drop,BTL,33,1,6.0,0.18181818181818182,6.0,Data Terlalu Sedikit
AMXTAB-ETTA,Amoxicillin 500mg Tab Etta,TAB,33,1,1100.0,33.333333333333336,1100.0,Data Terlalu Sedikit
ANAB60ML,ANABION 60 ML,BTL,33,1,50.0,1.5151515151515151,50.0,Data Terlalu Sedikit
ANTADO,Antasida Doen,BOX,33,1,2.0,0.06060606060606061,2.0,Data Terlalu Sedikit
ANTAST,Antasida Tab - Triman,BOX,34,2,32.0,0.9411764705882353,30.0,Data Terlalu Sedikit
ANTAST,Antasida Tab - Triman,TAB,35,1,100.0,2.857142857142857,100.0,Data Terlalu Sedikit
ANTASY,Antasida Syrup Mersi,BTL,33,1,6.0,0.18181818181818182,6.0,Data Terlalu Sedikit
ANTI,A ANTI A MONOCHLONAL,BTL,35,1,2.0,0.05714285714285714,2.0,Data Terlalu Sedikit
ANTI,AB ANTI AB MONOCHLONAL,BTL,35,1,2.0,0.05714285714285714,2.0,Data Terlalu Sedikit
ANTI,B ANTI B MONOCHLONAL,BTL,35,1,2.0,0.05714285714285714,2.0,Data Terlalu Sedikit
ANTI,D ANTI D MONOCHLONAL,BTL,36,1,2.0,0.05555555555555555,2.0,Data Terlalu Sedikit
ARI,TIMER RESPIRATORY RATE TIMER,UNIT,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
AS,20L AIR SULING 20 LITER,JERIGEN,35,2,21.0,0.6,20.0,Data Terlalu Sedikit
AS,ALKOHOL SWAB,BOX,34,4,490.0,14.411764705882353,250.0,Layak Diprediksi
ASMEF,Tab Asmef Tab,BOX,33,1,2.0,0.06060606060606061,2.0,Data Terlalu Sedikit
ASMEF500ERR,MEFENAMIC ACID ERRITA T,TAB,33,1,500.0,15.151515151515152,500.0,Data Terlalu Sedikit
ASO,ALKOHOL SWAB ONEMED,BOX,33,2,260.0,7.878787878787879,140.0,Data Terlalu Sedikit
ASS,ALKOHOL SWAB SENSI,BOX,33,1,120.0,3.6363636363636362,120.0,Data Terlalu Sedikit
AST4,Asthin 4 mg,BOX,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
ASTAB100,Aspilet Tab 100 mg,TAB,33,1,1000.0,30.303030303030305,1000.0,Data Terlalu Sedikit
ASTAB80,ASPILET TAB 80 MG,BOX,33,1,25.0,0.7575757575757576,25.0,Data Terlalu Sedikit
ASWAG30,Ashwagandha+ 30 Kapsul,BTL,33,1,4.0,0.12121212121212122,4.0,Data Terlalu Sedikit
ASWAG60,Ashwagandha+ 60 Kapsul,BTL,33,5,49.0,1.4848484848484849,15.0,Layak Diprediksi
ATM,PF M ALTAMED GLOVE PF SIZE M,BOX,34,1,30.0,0.8823529411764706,30.0,Data Terlalu Sedikit
ATM,PF S ALTAMED GLOVE PF SIZE S,BOX,35,1,20.0,0.5714285714285714,20.0,Data Terlalu Sedikit
ATM-RTA,ALTAMED COVID-19 RAPID TEST KIT ANTIGEN @25 PCS,BOX,33,7,108.0,3.272727272727273,25.0,Layak Diprediksi
ATRAX100-INJ,Asam Tranexamat 100mg/ml Inj,AMPUL,33,1,250.0,7.575757575757576,250.0,Data Terlalu Sedikit
ATRAX250-INJ,Asam Tranexamat 250mg/ml Inj - Berno Berno,AMPUL,33,2,168.0,5.090909090909091,100.0,Data Terlalu Sedikit
ATRAX500-TAB,Asam Tranexamat 500mg Tab - Berno Berno,BOX,34,1,15.0,0.4411764705882353,15.0,Data Terlalu Sedikit
ATRAX500-TAB,Asam Tranexamat 500mg Tab - Berno Berno,TAB,35,1,3050.0,87.14285714285714,3050.0,Data Terlalu Sedikit
ATROINJ,Atropin Inj,AMPUL,33,1,10.0,0.30303030303030304,10.0,Data Terlalu Sedikit
ATRV20,Atorvastatin 20 mg Dexa,TAB,33,1,1000.0,30.303030303030305,1000.0,Data Terlalu Sedikit
ATTAPULG,Attapulgite,TAB,33,1,500.0,15.151515151515152,500.0,Data Terlalu Sedikit
AU-GCU,Autocheck 3 in 1,UNIT,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
AUTOSCOPE,AUTOSCOPE,UNIT,33,2,3.0,0.09090909090909091,2.0,Data Terlalu Sedikit
AXIOO,AXIOO MYBOOK PRO L1 (8N5) MYBOOK,UNIT,33,1,2.0,0.06060606060606061,2.0,Data Terlalu Sedikit
AZITY500,Azitromycin 500 mg,BOX,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
AZITYS200,Azitromycin Syrup 200mg/5ml Bernofarm,BTL,33,1,15.0,0.45454545454545453,15.0,Data Terlalu Sedikit
B-10,BISTURI NO 10 BBRAUN,BOX,33,1,10.0,0.30303030303030304,10.0,Data Terlalu Sedikit
BBB,BOX BAYI BESI,UNIT,33,1,10.0,0.30303030303030304,10.0,Data Terlalu Sedikit
BBN3375,"Benang Bedah Nylon ukuran 3/0, 30 mm, 75 cm",PCS,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
BC,2 BED 2 CRANK MANUAL,UNIT,33,1,56.0,1.696969696969697,56.0,Data Terlalu Sedikit
BC-02,BENANG CROMIC 2/0,PCS,33,1,36.0,1.0909090909090908,36.0,Data Terlalu Sedikit
BC105,BINDER CLIP 105,BOX,33,1,36.0,1.0909090909090908,36.0,Data Terlalu Sedikit
BC107,BINDER CLIP 107,BOX,33,1,36.0,1.0909090909090908,36.0,Data Terlalu Sedikit
BC111,BINDER CLIP 111,BOX,33,1,36.0,1.0909090909090908,36.0,Data Terlalu Sedikit
BCM,3 BED 3 CRANK MANUAL,UNIT,33,1,5.0,0.15151515151515152,5.0,Data Terlalu Sedikit
BDC,BED DECUBITUS,UNIT,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
BDH,SET BEDAH,SET,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
BE,BUKU EKSPEDISI,BUAH,33,1,5.0,0.15151515151515152,5.0,Data Terlalu Sedikit
BESMG,Besanmag Tab,TAB,33,1,1000.0,30.303030303030305,1000.0,Data Terlalu Sedikit
BETHAS5-C,Betamethasone 5mg Cream - Berno,BOX,33,1,1.0,0.030303030303030304,1.0,Data Terlalu Sedikit
BFB,BUKU FOLIO BESAR,BUAH,33,1,5.0,0.15151515151515152,5.0,Data Terlalu Sedikit
BFK,BUKU FOLIO KECIL @100 LEMBAR,BUAH,33,1,10.0,0.30303030303030304,10.0,Data Terlalu Sedikit
BIG,Gauze - Kasa Big Gauze X Ray 30 x 30 XR30,PAK,34,1,7.0,0.20588235294117646,7.0,Data Terlalu Sedikit
BIG,Gauze - Kasa Big Gauze X Ray 40 x 40 XR40,PAK,35,1,1.0,0.02857142857142857,1.0,Data Terlalu Sedikit
BIOPLC-15,Bioplacenton 15 gr,TUBE,33,1,2.0,0.06060606060606061,2.0,Data Terlalu Sedikit
BIPLS,Bioplasenton,BOX,33,1,3.0,0.09090909090909091,3.0,Data Terlalu Sedikit
BISPRO2.5,Bisoprolol Tab 2.5mg Bernofarm,TAB,33,3,4100.0,124.24242424242425,3000.0,Layak Diprediksi
